url|raw_target|time
https://sso-1gmo1-idmgbdscp9tiuzbkj-web-aozora.erdo.ge/ja/jp/login.php/|Generic/Spear Phishing|10:31:23
http://uspsshipmentservice.blogspot.fi/|United States Postal Service|10:30:27
http://telesexgroup.pages.dev/|Telegram|10:35:47
https://jkhnh.godaddysites.com/|Orange|10:35:32
https://slowmejdrfdjf.weebly.com/|AT&T Inc.|10:35:31
https://chkdomainchkfileonline-679.pages.dev/|Generic/Spear Phishing|10:35:29
https://rogerss11.vercel.app/|Yahoo! Inc|10:35:26
https://adobe-document.github.io/|Office365|10:35:19
https://beeswap-frontend-web.vercel.app/|Crypto/Wallet|10:34:41
http://telstra-107736.weeblysite.com/|Telstra Corporation Limited|10:33:54
https://e2qyso.rest/o/88yj1/1726994548858#selectedbank2|OLX Group|10:32:34
http://armanmalikll.github.io/88|Facebook, Inc.|10:38:40
https://student-finance-auth.firebaseapp.com/|HM Revenue & Customs|10:38:07
https://344-final.vercel.app/|Instagram|10:38:02
https://paxfulonline.vercel.app/|Paxful Inc.|10:38:00
http://shreyajirwankar.github.io/Netflix-Homepage-clone|Generic/Spear Phishing|10:37:59
http://netflix-clone-seven-ashy.vercel.app/|Netflix Inc.|10:37:31
http://closedpagesettings2.com/business-pass-error|Facebook, Inc.|10:45:00
https://smartbasicrequest.pages.dev/|Crypto/Wallet|10:44:54
http://amogh030.github.io/Netflix_Clone|Netflix Inc.|10:44:46
https://referirstaxcredentialc3fcdd7dd5e0142a1a313a28c3fcdd7dd5e01.pages.dev/|Generic/Spear Phishing|10:43:37
http://replym.weebly.com/|Generic/Spear Phishing|10:50:01
http://fri01.pages.dev/|Office365|10:48:19
https://montgomery-f79d83.ingress-daribow.ewp.live/wp-content/plugins/krediet/pages/region.php|Credit Agricole S.A.|10:55:54
https://bafybeiaffsegrgjvwsox6kx4iroqc2fvyxgcb2xtsj2722ernz7l45h44u.ipfs.dweb.link/|Webmail Providers|10:55:03
http://mail-109680.weeblysite.com/|Generic/Spear Phishing|10:52:29
http://att-mail-106825.weeblysite.com/|AT&T Inc.|10:52:24
http://bt-109047.weeblysite.com/|BT Group plc|10:52:23
https://swisscome.blogspot.li/|Swisscom IT Services AG|11:01:58
https://metamasskluginn.blogspot.cl/|Crypto/Wallet|11:01:46
http://webusps.com/|United States Postal Service|11:01:11
http://ipfs.io/ipfs/bafybeibofcad74em52mf2u2w3qe2t7yqq76rl25qwt4qq7woyh7gy5ihxe/index.html|Generic/Spear Phishing|11:01:09
https://coinbaselogiin.blogspot.mk/|Coinbase|10:59:11
https://36562022.cc/|Bet365|10:58:08
https://helps-docs---trzorhardware.webflow.io/|Crypto/Wallet|11:05:49
https://bafybeibml5jr24naaptk53bmjhrt6oghfz7nbau5ie7nqsdzm7ofhwxvzi.ipfs.dweb.link/|DHL Airways, Inc.|11:03:54
http://cas-strink.blog-app.download/|Generic/Spear Phishing|11:02:55
http://facebooksecurity.blogspot.sk/|Facebook, Inc.|11:02:30
http://paypal95bd.blogspot.com/|PayPal Inc.|11:02:25
http://oducli.net/UCB-IL|Generic/Spear Phishing|11:09:35
https://learn-suite--app--trezo.webflow.io/|Crypto/Wallet|11:09:20
https://goorangeusps.com/|United States Postal Service|11:08:06
http://bafybeiclwl3rziqhbtbhk2pligjw7nypsvnp5b3tpxnbbdzom3k4qnnzli.ipfs.dweb.link/|Crypto/Wallet|11:16:40
https://7d1rsovt.chdoces.com.br/|Generic/Spear Phishing|11:15:46
http://adpolasdasf.pages.dev/|Adobe Inc.|11:14:48
https://supportwhatsapp.com/|WhatsApp|11:13:33
https://yitygjhvnm.ejs295m35c6098.workers.dev/|Office365|11:13:00
https://get-for-verified-info.vercel.app/|Facebook, Inc.|11:21:32
